company_name,perm_id,ticker_code,industry,
Futuristic Solutions Ltd,4297725765,FSL,Asset Management & Custody Activities,
Tyson Foods Inc,4295905141,TSN,Meat, Poultry & Dairy,
Tikcro Technologies Ltd,4295875115,TIKRF,Asset Management & Custody Activities,
Pulse Network Inc,5035155195,TPNI,Software & IT Services,
Fountain Asset Corp,4297622455,FA,Investment Banking & Brokerage,
SOPerior Fertilizer Corp,5037138585,SOP,Metals & Mining,
Morenzo Abadi Perkasa Tbk PT,5072794755,ENZO,Food Retailers & Distributors,
Inhibikase Therapeutics Inc,5025392225,IKT,Biotechnology & Pharmaceuticals,
Transakt Ltd,5051601705,TAKD,Industrial Machinery & Goods,
Peak Pharmaceuticals Inc,4298124165,PKPH,Biotechnology & Pharmaceuticals,
Calavo Growers Inc,4295901025,CVGW,Agricultural Products,
Thailand Future Fund,5050992125,TFFIF,Asset Management & Custody Activities,
Impinj Inc,4296920438,PI,Semiconductors,
Stock Plus AD,4297711685,SW3,Real Estate,
Suzhou Mingzhi Technology Co Ltd,5062306825,688355,Industrial Machinery & Goods,
Iraqi for Seed Production,5037628385,AISP,Industrial Machinery & Goods,
Dinh Binh Hydro Power JSC,5035712365,TDB,Electric Utilities & Power Generators,
Big Screen Entertainment Group Inc,4297091555,BSEG,Media & Entertainment,
Tasty Concepts Holding Ltd,5065359955,8096,Restaurants,
Huddlestock Fintech AS,5070821665,HUDLME,Software & IT Services,
Ardentec Corp,4295891908,3264,Semiconductors,
Shanghai Gench Education Group Ltd,5071159899,1525,Education,
AVer Information Inc,5000072559,3669,Hardware,
Reliance Weaving Mills Ltd,4295917439,REWM,Apparel, Accessories & Footwear,
UeSTRA Hannoversche Verkehrsbetriebe AG,4295868879,HVB,Road Transportation,
Cox & Kings Financial Service Ltd,5064704159,BW,Engineering & Construction Services,
Vaccex Inc,4296422849,VCEX,Meat, Poultry & Dairy,
Round Hill Music Royalty Fund Ltd,5079228909,RHM,Asset Management & Custody Activities,
Akari Therapeutics PLC,5000334709,AKTX,Biotechnology & Pharmaceuticals,
Inhibitor Therapeutics Inc,5040240639,INTI,Biotechnology & Pharmaceuticals,
Golden Entertainment Inc,4295914019,GDEN,Casinos & Gaming,
RespireRx Pharmaceuticals Inc,4295912989,RSPI,Biotechnology & Pharmaceuticals,
Polyard Petroleum International Group Ltd,4295871159,8011,Oil & Gas - Exploration & Production,
AeroVironment Inc,4295913894,AVAV,Aerospace & Defence,
Supernus Pharmaceuticals Inc,4297350707,SUPN,Biotechnology & Pharmaceuticals,
Gilead Sciences Inc,4295906595,GILD,Biotechnology & Pharmaceuticals,
American Water Works Company Inc,4295903347,AWK,Water Utilities & Services,
MetLife Inc,4295912198,MET,Insurance,
AxoGen Inc,4295906986,AXGN,Medical Equipment & Supplies,
Thai Enger Holding PCL,5063729039,TIGER,Engineering & Construction Services,
ESTec Corp,4295881309,069510,Hardware,
Artefact Projects Ltd,4295872449,ARTP,Engineering & Construction Services,
General Mills Inc,4295904061,GIS,Processed Foods,
AjinExTek Co Ltd,4296869909,059120,Semiconductors,
Tembaga Mulia Semanan Tbk PT,4295874649,TBMS,Metals & Mining,
Beijing Philisense Technology Co Ltd,5036345759,300287,Software & IT Services,
Shenzhen New Nanshan Holding Group Co Ltd,5000466719,002314,Real Estate,
Zhejiang Kaier New Materials Co Ltd,5034844799,300234,Multiline and Specialty Retailers & Distributors,
Huasheng International Holding Ltd,5001422189,1323,Construction Materials,
Gansu Qilianshan Cement Group Co Ltd,4295864199,600720,Construction Materials,
Sociedad de Inversiones Pampa Calichera SA,4295863509,CALICHB,Asset Management & Custody Activities,
SJK Co Ltd,4295882089,080440,Hardware,
Cita Mineral Investindo Tbk PT,4295874769,CITA,Metals & Mining,
Ameresco Inc,4296288833,AMRC,Engineering & Construction Services,
Jiangxi Xinyu Guoke Technology Co Ltd,5053797229,300722,Aerospace & Defence,
Global Service Center PCL,5035397329,GSC,Professional & Commercial Services,
Kehua Holdings Co Ltd,5044100009,603161,Auto Parts,
Guangzhou Development Group Inc,4295864399,600098,Coal Operations,
Royal Ceramic Industry PCL,4295893259,RCI,Building Products & Furnishings,
Focus Hotmelt Co Ltd,5080149849,301283,Chemicals,
CATARC Automotive Proving Ground Co Ltd,5079243319,301215,Professional & Commercial Services,
IOT Group Ltd,5001202089,ARBB,Software & IT Services,
Healthcare Trust Inc,5037942439,CHCT,Real Estate,
SAMG Entertainment Co Ltd,4298490069,419530,Media & Entertainment,
K Car Co Ltd,5080202479,381970,Multiline and Specialty Retailers & Distributors,
Howkingtech International Holding Ltd,5082515759,2440,Telecommunication Services,
Vulcan Minerals Inc,4296051659,VUL,Oil & Gas - Exploration & Production,
Genincode PLC,5071149359,GENI,Health Care Delivery,
BoardWare Intelligence Technology Ltd,5080153799,1204,Software & IT Services,
Tesla Inc,4297089638,TSLA,Automobiles,
Yarward Electronics Shandong Co Ltd,5055943089,301337,Software & IT Services,
FGI Industries Ltd,5081358629,FGI,Industrial Machinery & Goods,
Shanghai Chicmax Cosmetic Co Ltd,5081689169,2145,Household & Personal Products,
Dream Residential Real Estate Investment Trust,5082486629,DRR/U,Real Estate,
Southern Airports Services JSC,5001120519,SAS,Professional & Commercial Services,
Merchants Bancshares Inc,4295907129,FMBN,Commercial Banks,
View Systems Inc,4295902659,VSYM,Electrical & Electronic Equipment,
Mahickra Chemicals Ltd,5061193139,MAHICKRA,Chemicals,
Fashionette AG,5077911419,FSNT,E-Commerce,
Truscott Mining Corp Ltd,4295858519,TRM,Metals & Mining,
Legend Oil and Gas Ltd,4295913149,LOGL,Oil & Gas - Exploration & Production,
Nickel Creek Platinum Corp,5000049639,NCP,Metals & Mining,
EnPro Industries Inc,4295902119,NPO,Industrial Machinery & Goods,
AMECC Mechanical Construction JSC,5053382659,AMS,Engineering & Construction Services,
Nara Cellar Co Ltd,5001165549,405920,Multiline and Specialty Retailers & Distributors,
Crayons Advertising Ltd,5000931789,CRAYONS,Advertising & Marketing,
Tan Mai General Wood JSC,5000613199,TMW,Apparel, Accessories & Footwear,
Prospect Resources Ltd,5000471839,PSC,Metals & Mining,
Prime Finance PLC,5037663169,GSF,Commercial Banks,
Thalassa Holdings Ltd,4298052399,THAL,Oil & Gas - Services,
Sellas Life Sciences Group Inc,4298009979,SLS,Biotechnology & Pharmaceuticals,
Cerveceria Nacional CN SA,4296306939,CNC,Alcoholic Beverages,
Diatreme Resources Ltd,4295858839,DRX,Metals & Mining,
Exore Resources Ltd,4295857799,ERX,Metals & Mining,
Athena Resources Ltd,4295858399,AHN,Metals & Mining,
Celamin Holdings Ltd,4298052039,CNL,Metals & Mining,
Gaekwar Mills Ltd,5000444909,GKWM,Apparel, Accessories & Footwear,
8x8 Inc,4295912360,EGHT,Telecommunication Services,
Bank Panin Dubai Syariah Tbk PT,4297868571,PNBS,Commercial Banks,
Silver Bullet Data Services Group PLC,5076105991,SBDS,Advertising & Marketing,
BJ's Restaurants Inc,4295912847,BJRI,Restaurants,
Allied Security Innovations Inc,4295901451,ADSV,Hardware,
